show_id,tipo,genero
MOV_10192,Película,Comedy
MOV_10192,Película,Adventure
MOV_10192,Película,Fantasy
MOV_10192,Película,Animation
MOV_10192,Película,Family
MOV_27205,Película,Action
MOV_27205,Película,Science Fiction
MOV_27205,Película,Adventure
MOV_12444,Película,Adventure
MOV_12444,Película,Fantasy
MOV_38757,Película,Animation
MOV_38757,Película,Family
MOV_38757,Película,Adventure
MOV_10191,Película,Fantasy
MOV_10191,Película,Adventure
MOV_10191,Película,Animation
MOV_10191,Película,Family
MOV_11324,Película,Drama
MOV_11324,Película,Thriller
MOV_11324,Película,Mystery
MOV_38575,Película,Action
MOV_38575,Película,Adventure
MOV_38575,Película,Drama
MOV_38575,Película,Family
MOV_10138,Película,Adventure
MOV_10138,Película,Action
MOV_10138,Película,Science Fiction
MOV_38365,Película,Comedy
MOV_48650,Película,Drama
MOV_48650,Película,Romance
MOV_20352,Película,Animation
MOV_20352,Película,Family
MOV_20352,Película,Comedy
MOV_10193,Película,Animation
MOV_10193,Película,Family
MOV_10193,Película,Comedy
MOV_24021,Película,Adventure
MOV_24021,Película,Fantasy
MOV_24021,Película,Drama
MOV_24021,Película,Romance
MOV_12155,Película,Family
MOV_12155,Película,Fantasy
MOV_12155,Película,Adventure
MOV_73861,Película,Crime
MOV_73861,Película,Horror
MOV_73861,Película,Thriller
MOV_38234,Película,Action
MOV_38234,Película,Thriller
MOV_38234,Película,Crime
MOV_38234,Película,Drama
MOV_37799,Película,Drama
MOV_61979,Película,Romance
MOV_61979,Película,Drama
MOV_32657,Película,Adventure
MOV_32657,Película,Fantasy
MOV_32657,Película,Family
MOV_23168,Película,Crime
MOV_23168,Película,Drama
MOV_23168,Película,Thriller
MOV_34851,Película,Science Fiction
MOV_34851,Película,Action
MOV_34851,Película,Thriller
MOV_38055,Película,Animation
MOV_38055,Película,Action
MOV_38055,Película,Comedy
MOV_38055,Película,Family
MOV_38055,Película,Science Fiction
MOV_10140,Película,Adventure
MOV_10140,Película,Family
MOV_10140,Película,Fantasy
MOV_27578,Película,Thriller
MOV_27578,Película,Adventure
MOV_27578,Película,Action
MOV_18823,Película,Adventure
MOV_18823,Película,Fantasy
MOV_18823,Película,Action
MOV_44214,Película,Drama
MOV_44214,Película,Thriller
MOV_44214,Película,Horror
MOV_23483,Película,Action
MOV_23483,Película,Crime
MOV_20526,Película,Adventure
MOV_20526,Película,Action
MOV_20526,Película,Science Fiction
MOV_52629,Película,Action
MOV_52629,Película,Crime
MOV_52629,Película,Western
MOV_52629,Película,Comedy
MOV_52629,Película,Drama
MOV_26389,Película,Action
MOV_26389,Película,Crime
MOV_26389,Película,Thriller
MOV_10196,Película,Action
MOV_10196,Película,Adventure
MOV_10196,Película,Fantasy
MOV_27581,Película,Action
MOV_27581,Película,Comedy
MOV_27581,Película,Crime
MOV_27581,Película,Thriller
MOV_47931,Película,Drama
MOV_47931,Película,Action
MOV_47931,Película,Crime
