show_id,tipo,pais
MOV_10192,Película,United States of America
MOV_27205,Película,United Kingdom
MOV_27205,Película,United States of America
MOV_12444,Película,United Kingdom
MOV_12444,Película,United States of America
MOV_38757,Película,United States of America
MOV_10191,Película,United States of America
MOV_11324,Película,United States of America
MOV_38575,Película,China
MOV_38575,Película,Hong Kong
MOV_38575,Película,United States of America
MOV_10138,Película,United States of America
MOV_38365,Película,United States of America
MOV_48650,Película,France
MOV_48650,Película,Spain
MOV_20352,Película,United States of America
MOV_10193,Película,United States of America
MOV_24021,Película,United States of America
MOV_12155,Película,United States of America
MOV_73861,Película,Serbia
MOV_38234,Película,United States of America
MOV_37799,Película,United States of America
MOV_61979,Película,Spain
MOV_32657,Película,United States of America
MOV_23168,Película,United Kingdom
MOV_23168,Película,United States of America
MOV_34851,Película,United States of America
MOV_38055,Película,United States of America
MOV_10140,Película,United Kingdom
MOV_10140,Película,United States of America
MOV_27578,Película,Bulgaria
MOV_27578,Película,United States of America
MOV_18823,Película,United States of America
MOV_44214,Película,United States of America
MOV_23483,Película,United Kingdom
MOV_23483,Película,United States of America
MOV_20526,Película,United States of America
MOV_52629,Película,Mexico
MOV_26389,Película,United Kingdom
MOV_26389,Película,France
MOV_10196,Película,United States of America
MOV_27581,Película,United States of America
MOV_47931,Película,Brazil
MOV_9543,Película,United States of America
MOV_22538,Película,Japan
MOV_22538,Película,United Kingdom
MOV_22538,Película,United States of America
MOV_22894,Película,United States of America
MOV_51608,Película,South Korea
MOV_43947,Película,United States of America
MOV_44115,Película,France
MOV_44115,Película,United Kingdom
MOV_44115,Película,United States of America
MOV_39514,Película,United States of America
MOV_573531,Película,Germany
MOV_573531,Película,Japan
MOV_573531,Película,United States of America
MOV_35552,Película,France
MOV_27576,Película,United States of America
MOV_46738,Película,Canada
MOV_46738,Película,France
MOV_44918,Película,United States of America
MOV_43949,Película,United States of America
MOV_43347,Película,United States of America
MOV_35019,Película,United States of America
MOV_35019,Película,United Kingdom
MOV_35019,Película,France
MOV_43593,Película,United States of America
MOV_44683,Película,India
MOV_44683,Película,United States of America
MOV_20504,Película,United States of America
MOV_7978,Película,United States of America
MOV_48466,Película,United States of America
MOV_34544,Película,United Kingdom
MOV_34544,Película,United States of America
MOV_38167,Película,United States of America
MOV_26022,Película,China
MOV_26022,Película,India
MOV_26022,Película,United Arab Emirates
MOV_26022,Película,United States of America
MOV_50723,Película,Japan
MOV_49797,Película,South Korea
MOV_51620,Película,South Africa
MOV_51620,Película,Germany
MOV_46705,Película,United States of America
MOV_33217,Película,United Kingdom
MOV_33217,Película,United States of America
MOV_20662,Película,United States of America
MOV_51739,Película,France
MOV_51739,Película,Japan
MOV_51739,Película,United States of America
MOV_25195,Película,Ireland
MOV_25195,Película,United States of America
MOV_27022,Película,United States of America
MOV_34016,Película,United States of America
MOV_44363,Película,United States of America
MOV_41439,Película,United States of America
MOV_37834,Película,United States of America
MOV_46838,Película,Canada
MOV_46838,Película,United States of America
MOV_37707,Película,Canada
MOV_37707,Película,France
MOV_37707,Película,Germany
MOV_38358,Película,United States of America
MOV_38358,Película,France
MOV_41733,Película,United States of America
MOV_23437,Película,United States of America
MOV_22907,Película,United States of America
MOV_40205,Película,United States of America
MOV_45269,Película,United Kingdom
MOV_45269,Película,United States of America
MOV_23169,Película,United States of America
MOV_37735,Película,United States of America
MOV_44048,Película,United States of America
MOV_44874,Película,United States of America
MOV_37786,Película,United States of America
MOV_37645,Película,France
MOV_41283,Película,United States of America
MOV_41436,Película,United States of America
MOV_37710,Película,United States of America
MOV_37710,Película,United Kingdom
MOV_37710,Película,France
MOV_37710,Película,Italy
MOV_41233,Película,United States of America
MOV_44264,Película,United States of America
MOV_43539,Película,United States of America
MOV_43539,Película,France
